date	TSYMBOL	BIDLO	ASKHI	PRC	VOL	BID	ASK
20080430	DVD	5.74	6.65	6.12	5215	6.1	6.12
20080530	DVD	5.88	6.35	6.22	5064	6.36	6.4
20080630	DVD	4.92	6.3	5.09	18106	5.09	5.1
20080731	DVD	4.09	4.81	4.48	11351	4.45	4.48
20080829	DVD	4.44	5.7	4.99	7561	4.99	5
20080930	DVD	4.96	6.15	5.45	10978	5.8	6
20081031	DVD	1.99	5.3	2.14	15546	1.94	1.95
20081128	DVD	1.1	2.05	1.5	13927	1.42	1.5
20081231	DVD	1.05	1.47	1.3	13834	1.28	1.29
20090130	DVD	1.17	1.86	1.55	6852	1.55	1.58
20090227	DVD	1.4	2.59	1.4	5575	1.51	1.55
20090331	DVD	1.24	2.4	1.85	6140	1.82	1.84
20090430	DVD	1.55	2.18	1.59	5544	1.59	1.62
20090529	DVD	1.52	1.77	1.57	13154	1.58	1.61
20090630	DVD	1.42	1.79	1.42	22866	1.41	1.43
20090731	DVD	1.21	1.55	1.4	7577	1.38	1.41
20090831	DVD	1.33	1.59	1.45	4207	1.45	1.5
20090930	DVD	1.38	1.64	1.5	4846	1.51	1.53
20091030	DVD	1.39	1.58	1.39	2608	1.39	1.41
20091130	DVD	1.36	1.87	1.84	6513	1.81	1.84
20091231	DVD	1.9508	2.3	2.09	7117	2.05	2.08
20100129	DVD	2.09	2.31	2.24	4400	2.24	2.25
20100226	DVD	1.9876	2.29	2.2	6501	2.08	2.09
20100331	DVD	2.04	2.26	2.06	5579	2.06	2.08
20100430	DVD	2.09	2.29	2.2	2560	2.21	2.22
20100528	DVD	1.95	2.12	1.95	2956	1.95	1.97
20100630	DVD	1.76	2.1	1.82	3124	1.82	1.83
20100730	DVD	1.6	1.8801	1.61	1614	1.61	1.63
20100831	DVD	1.53	1.98	1.77	1537	1.73	1.77
20100930	DVD	1.63	1.8199	1.8101	5003	1.81	1.84
20101029	DVD	1.7	1.97	1.7199	6518	1.7	1.72
20101130	DVD	1.75	1.8401	1.76	2964	1.76	1.78
20101231	DVD	1.7201	1.89	1.78	11887	1.76	1.77
20110131	DVD	1.74	1.88	1.88	3167	1.86	1.88
20110228	DVD	1.86	2.04	2.03	2180	2	2.03
20110331	DVD	1.9	2.16	2	2358	1.95	2.01
20110429	DVD	1.93	2.08	1.95	722	1.96	1.98
20110531	DVD	1.9001	2.09	2.06	2420	2.02	2.06
20110630	DVD	1.82	2.04	1.8799	1641	1.85	1.87
20110729	DVD	1.76	1.9	1.85	1583	1.8	1.84
20110831	DVD	1.21	1.83	1.44	5464	1.4	1.48
20110930	DVD	1.14	1.51	1.25	1970	1.24	1.25
20111031	DVD	1.0199	1.22	1.04	2988	1.04	1.08
20111130	DVD	0.95	1.1	1.05	33971	1.08	1.09
20111230	DVD	1	1.3	1.04	17985	1.02	1.05
20120131	DVD	1.02	1.35	1.17	1490	1.17	1.21
20120229	DVD	1.189	1.5	1.32	4449	1.33	1.39
20120330	DVD	1.34	1.55	1.48	7689	1.47	1.5
20120430	DVD	1.4501	1.58	1.4501	3466	1.45	1.46
20120531	DVD	1.23	1.46	1.23	2136	1.24	1.27
20120629	DVD	1.2	1.3678	1.31	1887	1.27	1.32
20120731	DVD	1.23	1.4999	1.45	2971	1.43	1.5
20120831	DVD	1.24	1.5	1.46	7505	1.48	1.5
20120928	DVD	1.33	1.5299	1.39	2715	1.39	1.41
20121031	DVD	1.4	1.54	1.5	1571	1.46	1.51
20121130	DVD	1.49	1.66	1.65	2229	1.66	1.7
20121231	DVD	1.6	1.82	1.69	3290	1.61	1.68
20130131	DVD	1.7	1.84	1.7	3622	1.7	1.72
20130228	DVD	1.7	1.76	1.7	3843	1.7	1.74
20130328	DVD	1.7	2	2	13891	1.98	2.02
20130430	DVD	1.92	2.11	2.09	3932	2.09	2.1
20130531	DVD	2.06	2.12	2.11	3281	2.1	2.11
20130628	DVD	2.0901	2.19	2.16	7517	2.16	2.18
20130731	DVD	2.14	2.56	2.56	6393	2.55	2.56
20130830	DVD	2.36	2.66	2.4395	11326	2.42	2.43
20130930	DVD	2.31	2.47	2.4	5940	2.38	2.4
20131031	DVD	2.27	2.45	2.36	15702	2.38	2.4
20131129	DVD	2.32	2.55	2.55	4610	2.51	2.56
20131231	DVD	2.41	2.57	2.51	3279	2.51	2.56
20140131	DVD	2.19	2.5	2.33	3523	2.33	2.36
20140228	DVD	2.2	2.5	2.25	3451	2.25	2.29
20140331	DVD	2.26	2.5	2.5	2903	2.49	2.5
20140430	DVD	2.23	2.46	2.34	3291	2.34	2.35
20140530	DVD	2.21	2.76	2.69	3449	2.68	2.71
20140630	DVD	2.59	2.96	2.89	7917	2.88	2.89
20140731	DVD	2.68	2.92	2.77	2147	2.74	2.77
20140829	DVD	2.59	2.79	2.7	2050	2.66	2.7
20140930	DVD	2.28	2.66	2.31	2470	2.27	2.31
20141031	DVD	2.2499	2.41	2.408	1670	2.4	2.45
20141128	DVD	2.3	2.57	2.57	1326	2.57	2.58
20141231	DVD	2.29	2.8	2.61	1837	2.55	2.58
