PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
59408,20041130,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20041230,45.11,47.44,46.27,1758060,0.033043,46.28,46.28,4039177,1,1,46.27,,20041130,0.033043,0.048207,0.044313,0.079929,0.078349,0.038595
59408,20041231,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20041027,20041222,20041203,0,,,1232,0.45,0,0,,,20050130,45.2,46.99,46.99,1701356,0.025286,46.94,46.97,4039177,1,1,46.99,,20041231,0.015561,0.035177,0.033422,0.05292,0.050625,0.032458
59408,20050131,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20050227,44.5,46.46,46.37,2059206,-0.013194,46.33,46.35,4039177,1,1,46.37,,20050131,-0.013194,-0.026552,-0.027406,-0.029278,-0.030141,-0.02529
59408,20050228,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20050330,45.2,47.06,46.65,1465544,0.006038,46.54,46.55,4039177,1,1,46.65,,20050228,0.006038,0.022681,0.020844,0.016636,0.015375,0.018903
59408,20050331,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20050126,20050325,20050304,0,,,1232,0.45,0,0,,,20050428,43.66,47.08,44.1,2400001,-0.045016,44.05,44.11,4053638,1,1,44.1,,20050331,-0.054662,-0.016948,-0.018583,-0.031835,-0.03358,-0.019118
59408,20050429,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20050530,44.01,45.52,45.04,2086934,0.021315,45.02,45.03,4053638,1,1,45.04,,20050429,0.021315,-0.025185,-0.026569,-0.046509,-0.047915,-0.020109
59408,20050531,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20050629,45.13,46.71,46.32,1617699,0.028419,46.35,46.36,4021570,1,1,46.32,,20050531,0.028419,0.037954,0.03615,0.043808,0.042208,0.029952
59408,20050630,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20050427,20050624,20050603,0,,,1232,0.45,0,0,,,20050728,45.61,47.08,45.61,2159803,-0.005613,45.6,45.61,4021570,1,1,45.61,,20050630,-0.015328,0.011533,0.009909,0.032153,0.030211,-0.000143
59408,20050729,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20050830,43.6,45.98,43.6,3332051,-0.044069,43.6,43.61,4016704,1,1,43.6,,20050729,-0.044069,0.043325,0.042218,0.058745,0.057699,0.035968
59408,20050831,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20050622,20050923,20050902,0,,,1232,0.5,0,0,,,20050929,42.69,43.94,43.03,2659400,-0.001605,43,43.04,4017928,1,1,43.03,,20050831,-0.013073,-0.005946,-0.007763,-0.007217,-0.008588,-0.011222
