date	TSYMBOL	BIDLO	ASKHI	PRC	VOL	BID	ASK
20120131	BAC	5.8	7.35	7.13	60693125	7.13	7.14
20120229	BAC	7.36	8.25	7.97	59652425	7.97	7.98
20120330	BAC	7.71	9.93	9.57	68249571	9.56	9.57
20120430	BAC	8.11	9.68	8.11	43197927	8.09	8.1
20120531	BAC	6.83	8.31	7.35	42260650	7.34	7.35
20120629	BAC	6.9	8.18	8.18	40618886	8.17	8.18
20120731	BAC	7.04	8.06	7.34	28148748	7.32	7.33
20120831	BAC	7.18	8.22	7.99	23065361	7.99	8
20120928	BAC	7.95	9.55	8.83	31700870	8.81	8.82
20121031	BAC	8.93	9.55	9.32	29823690	9.32	9.33
20121130	BAC	8.99	9.94	9.86	31685382	9.85	9.86
20121231	BAC	9.8	11.61	11.61	35068611	11.61	11.62
20130131	BAC	11.14	12.11	11.32	33434430	11.31	11.32
20130228	BAC	11.03	12.245	11.23	32617818	11.22	11.23
20130328	BAC	11.34	12.78	12.18	31988779	12.17	12.18
20130430	BAC	11.44	12.44	12.31	29182204	12.28	12.29
20130531	BAC	12.14	13.83	13.66	29293858	13.67	13.68
20130628	BAC	12.3	13.55	12.86	25909353	12.85	12.86
20130731	BAC	12.83	14.94	14.6	24613928	14.6	14.61
20130830	BAC	14.11	14.95	14.12	19338526	14.11	14.12
20130930	BAC	13.8	14.715	13.8	17159650	13.8	13.81
20131031	BAC	13.69	14.66	13.97	20479496	13.96	13.97
20131129	BAC	13.8	15.88	15.82	20595582	15.82	15.83
20131231	BAC	15.18	15.75	15.57	16616142	15.57	15.58
20140131	BAC	16.1	17.15	16.75	25908539	16.76	16.77
20140228	BAC	16.2	16.88	16.53	21027328	16.51	16.52
20140331	BAC	16.3	17.92	17.2	23407219	17.21	17.22
20140430	BAC	14.95	17.34	15.14	22450298	15.14	15.15
20140530	BAC	14.51	15.25	15.14	14624465	15.13	15.14
20140630	BAC	15.21	15.92	15.37	12567221	15.36	15.37
20140731	BAC	15.2	16.03	15.25	15002268	15.25	15.26
20140829	BAC	14.98	16.33	16.09	14452343	16.08	16.09
20140930	BAC	16.02	17.18	17.05	17905029	17.06	17.07
20141031	BAC	15.76	17.29	17.16	22081230	17.14	17.15
20141128	BAC	17	17.37	17.04	9421203	17.05	17.06
20141231	BAC	16.72	18.13	17.89	17124472	17.89	17.9
